DATE,TIME,1MIN,6MIN,ALTERNATE,PREDICTED,RESIDUAL
03/11/2011,05:43,0.52,-,-,-,-
03/11/2011,05:44,0.52,-,-,-,-
03/11/2011,05:45,0.51,-,-,-,-
03/11/2011,05:46,0.51,-,-,-,-
03/11/2011,05:47,0.51,-,-,-,-
03/11/2011,05:48,0.53,0.52,1.32,0.56,-0.03
03/11/2011,05:49,0.51,-,-,0.56,-0.05
03/11/2011,05:50,0.53,-,-,0.56,-0.03
03/11/2011,05:51,0.52,-,-,0.56,-0.04
03/11/2011,05:52,0.52,-,-,0.56,-0.04
03/11/2011,05:53,0.52,-,-,0.56,-0.04
03/11/2011,05:54,0.52,0.52,1.32,0.56,-0.04
03/11/2011,05:55,0.52,-,-,0.56,-0.04
03/11/2011,05:56,0.53,-,-,0.56,-0.03
03/11/2011,05:57,0.52,-,-,0.56,-0.04
03/11/2011,05:58,0.54,-,-,0.55,-0.01
03/11/2011,05:59,0.53,-,-,0.55,-0.02
03/11/2011,06:00,-,0.54,1.32,0.55,-
03/11/2011,06:01,0.53,-,-,0.55,-0.02
03/11/2011,06:02,0.54,-,-,0.55,-0.01
03/11/2011,06:03,0.53,-,-,0.55,-0.02
03/11/2011,06:04,0.51,-,-,0.55,-0.04
03/11/2011,06:05,0.52,-,-,0.55,-0.03
03/11/2011,06:06,0.52,0.52,1.33,0.55,-0.03
03/11/2011,06:07,0.52,-,-,0.55,-0.03
03/11/2011,06:08,0.50,-,-,0.55,-0.05
03/11/2011,06:09,0.50,-,-,0.55,-0.05
03/11/2011,06:10,0.51,-,-,0.55,-0.04
03/11/2011,06:11,0.51,-,-,0.55,-0.04
03/11/2011,06:12,0.50,0.51,1.31,0.55,-0.05
03/11/2011,06:13,0.51,-,-,0.55,-0.04
03/11/2011,06:14,0.50,-,-,0.55,-0.05
03/11/2011,06:15,0.49,-,-,0.55,-0.06
03/11/2011,06:16,0.50,-,-,0.55,-0.05
03/11/2011,06:17,0.48,-,-,0.55,-0.07
03/11/2011,06:18,0.50,0.50,1.30,0.55,-0.05
03/11/2011,06:19,0.50,-,-,0.55,-0.05
03/11/2011,06:20,0.50,-,-,0.55,-0.05
03/11/2011,06:21,0.52,-,-,0.55,-0.03
03/11/2011,06:22,0.53,-,-,0.54,-0.01
03/11/2011,06:23,0.53,-,-,0.54,-0.01
03/11/2011,06:24,0.54,0.53,1.29,0.54,0.00
03/11/2011,06:25,0.52,-,-,0.54,-0.02
03/11/2011,06:26,0.52,-,-,0.54,-0.02
03/11/2011,06:27,0.52,-,-,0.54,-0.02
03/11/2011,06:28,0.52,-,-,0.54,-0.02
03/11/2011,06:29,0.50,-,-,0.54,-0.04
03/11/2011,06:30,0.51,0.50,1.33,0.54,-0.03
03/11/2011,06:31,0.47,-,-,0.54,-0.07
03/11/2011,06:32,0.48,-,-,0.54,-0.06
03/11/2011,06:33,0.48,-,-,0.54,-0.06
03/11/2011,06:34,0.50,-,-,0.53,-0.03
03/11/2011,06:35,0.50,-,-,0.53,-0.03
03/11/2011,06:36,0.49,0.49,1.30,0.53,-0.04
03/11/2011,06:37,0.49,-,-,0.53,-0.04
03/11/2011,06:38,0.50,-,-,0.53,-0.03
03/11/2011,06:39,0.51,-,-,0.53,-0.02
03/11/2011,06:40,0.51,-,-,0.53,-0.02
03/11/2011,06:41,0.50,-,-,0.53,-0.03
03/11/2011,06:42,0.49,0.50,1.29,0.53,-0.04
03/11/2011,06:43,0.48,-,-,0.53,-0.05
03/11/2011,06:44,0.48,-,-,0.53,-0.05
03/11/2011,06:45,0.49,-,-,0.53,-0.04
03/11/2011,06:46,0.49,-,-,0.53,-0.04
03/11/2011,06:47,0.49,-,-,0.53,-0.04
03/11/2011,06:48,0.47,0.48,1.30,0.53,-0.06
03/11/2011,06:49,0.48,-,-,0.53,-0.05
03/11/2011,06:50,0.49,-,-,0.53,-0.04
03/11/2011,06:51,0.50,-,-,0.53,-0.03
03/11/2011,06:52,0.48,-,-,0.52,-0.04
03/11/2011,06:53,0.49,-,-,0.52,-0.03
03/11/2011,06:54,0.47,0.48,1.28,0.52,-0.05
03/11/2011,06:55,0.47,-,-,0.52,-0.05
03/11/2011,06:56,0.48,-,-,0.52,-0.04
03/11/2011,06:57,0.48,-,-,0.52,-0.04
03/11/2011,06:58,0.47,-,-,0.52,-0.05
03/11/2011,06:59,0.48,-,-,0.52,-0.04
03/11/2011,07:00,0.47,0.47,1.27,0.52,-0.05
03/11/2011,07:01,0.47,-,-,0.52,-0.05
03/11/2011,07:02,0.50,-,-,0.52,-0.02
03/11/2011,07:03,0.50,-,-,0.52,-0.02
03/11/2011,07:04,0.49,-,-,0.51,-0.02
03/11/2011,07:05,0.49,-,-,0.51,-0.02
03/11/2011,07:06,0.47,0.48,1.26,0.51,-0.04
03/11/2011,07:07,0.48,-,-,0.51,-0.03
03/11/2011,07:08,0.48,-,-,0.51,-0.03
03/11/2011,07:09,0.47,-,-,0.51,-0.04
03/11/2011,07:10,0.46,-,-,0.50,-0.04
03/11/2011,07:11,0.46,-,-,0.50,-0.04
03/11/2011,07:12,0.45,0.46,1.28,0.50,-0.05
03/11/2011,07:13,0.46,-,-,0.50,-0.04
03/11/2011,07:14,0.46,-,-,0.50,-0.04
03/11/2011,07:15,0.46,-,-,0.50,-0.04
03/11/2011,07:16,0.47,-,-,0.50,-0.03
03/11/2011,07:17,0.46,-,-,0.50,-0.04
03/11/2011,07:18,0.46,0.47,1.26,0.50,-0.04
03/11/2011,07:19,0.47,-,-,0.50,-0.03
03/11/2011,07:20,0.46,-,-,0.50,-0.04
03/11/2011,07:21,0.46,-,-,0.50,-0.04
03/11/2011,07:22,0.47,-,-,0.49,-0.02
03/11/2011,07:23,0.45,-,-,0.49,-0.04
03/11/2011,07:24,0.47,0.46,1.26,0.49,-0.02
03/11/2011,07:25,0.46,-,-,0.49,-0.03
03/11/2011,07:26,0.43,-,-,0.49,-0.06
03/11/2011,07:27,0.44,-,-,0.49,-0.05
03/11/2011,07:28,0.45,-,-,0.49,-0.04
03/11/2011,07:29,0.44,-,-,0.49,-0.05
03/11/2011,07:30,0.44,0.44,1.26,0.49,-0.05
03/11/2011,07:31,0.43,-,-,0.49,-0.06
03/11/2011,07:32,0.45,-,-,0.49,-0.04
03/11/2011,07:33,0.44,-,-,0.49,-0.05
03/11/2011,07:34,0.44,-,-,0.48,-0.04
03/11/2011,07:35,0.45,-,-,0.48,-0.03
